i,target
0,0.514100539293402
1,0.5003544749101714
2,0.5002395305126331
3,0.4998523493840833
4,0.4998232351781279
5,0.49989431921344757
6,0.49966216177894607
7,0.5002293216352202
8,0.4993245126111775
9,0.5001975606832688
10,0.5000754322608845
11,0.5004924838085314
12,0.5003181766793698
13,0.49987768252433024
14,0.49947083985409624
15,0.49994914466622076
16,0.4999181399274111
17,0.4999052843040022
18,0.499893184893735
19,0.5004486234463128
20,0.5002644855463092
21,0.49998960206930165
22,0.4999430949610872
23,0.5005193293750617
24,0.4997215245105694
25,0.49998052751160127
26,0.5004871903165394
27,0.4999597316502045
28,0.4996961913703225
29,0.5002157097986696
30,0.4994927700352055
31,0.5001121085982568
32,0.5001635310918924
33,0.5002342370206412
34,0.49965422154095823
35,0.49969203219804315
36,0.5001397103779288
37,0.49973778309311595
38,0.49963229135984893
39,0.500091690843431
40,0.5000119103569818
41,0.49972946474855723
42,0.4998875132951723
43,0.5005692394424138
44,0.49997107484733
45,0.5000149352095485
46,0.5000277908329575
47,0.5005885228775271
48,0.4999665375684798
49,0.4996319132532781
50,0.5003336790487746
51,0.5002610825871715
52,0.4992175084516271
53,0.5002501174966169
54,0.5005197074816325
55,0.5006130998046323
56,0.5003336790487746
57,0.5001223174756698
58,0.5004070317235194
59,0.49972870853541557
60,0.49955364519311224
61,0.4999854428970223
62,0.49992986123110744
63,0.5000485866943541
64,0.5003087240150985
65,0.49993931389537866
66,0.49981983221899023
67,0.5003314104093495
68,0.500593816369519
69,0.5007132980459075
70,0.5004263151586327
71,0.4998493245315165
72,0.4996489280489663
73,0.49931921911918564
74,0.5005439063021669
75,0.49984138429352865
76,0.5001453819764916
77,0.4995555357259665
78,0.500036487284087
79,0.5001960482569854
80,0.5001918890847061
81,0.49984592157237884
82,0.49992456773911553
83,0.49953133690543217
84,0.5000735417280302
85,0.49969732569003505
86,0.5005605429912843
87,0.4999495227727916
88,0.49942584517216515
89,0.5000406464563664
90,0.5000754322608845
91,0.4997207682974277
92,0.4998973440660144
93,0.5002194908643781
94,0.5001053026799815
95,0.500189620445281
96,0.5002092819869651
97,0.5001722275430219
98,0.5005541151795798
99,0.5000372434972287
100,0.49993704525595356
101,0.5000898003105767
102,0.49972265883028194
103,0.49987314524548004
104,0.5004021163380984
105,0.49989016004116826
106,0.5000236316606781
107,0.5000455618417874
108,0.5002410429389165
109,0.5003204453187949
110,0.4999215428865487
111,0.5001397103779288
112,0.5001707151167385
113,0.5000746760477428
114,0.49983041920297405
115,0.5000958500157103
116,0.5001336606727953
117,0.49924548833786997
118,0.5001249642216657
119,0.5002459583243376
120,0.4999718310604717
121,0.49991851803398196
122,0.500217222224953
123,0.4999956517744352
124,0.4997789967093385
125,0.49996351271591305
126,0.5001979387898396
127,0.5004966429808108
128,0.5002270529957951
129,0.5004576980040132
130,0.5003113707610944
131,0.5005873885578146
132,0.49984894642494565
